"","HeFTy.ID","Max.time..Ma.","Min.time..Ma.","Max.temp..C.","Min.temp..C.","Max.good.time..Ma.","Min.good.time..Ma.","Mean.good.time..Ma.","SD.good.time..Ma.","Max.good.temp..C.","Min.good.temp..C.","Mean.good.temp..C.","SD.good.temp..C.","Sample","Table.ID","Type"
"61",5,993,487.5,285,0,992.60406849826,488.312588099922,882.096414166677,102.885892323022,284.97460194,127.567514775,202.706286379965,44.4632547810562,"2_z135","2b","Less_Restrictive"
"71",6,992,487,40,0,924.434726470859,487.431081668185,753.466463293017,125.473274520793,39.97480544,0.05224324,19.76676194852,11.5168580873019,"2_z135","2b.1","Less_Restrictive"
"81",7,497,485,40,0,496.991756048,485.023652624,491.113923008155,3.49936130671871,39.99441348,0.04451252,20.0042151558,11.7149714639069,"2_z135","3a","Less_Restrictive"
"91",8,496,201,100,70,494.65701640933,201.031507306546,347.274236003213,84.2524530470072,99.98914822,70.03155712,85.26301781551,8.72617677060116,"2_z135","3b","Less_Restrictive"
"101",9,251,2.6,20,0,250.5699932696,2.7256533884,128.143237757573,69.3020777893289,19.99989588,0.03266894,10.16545872406,5.79926175886683,"2_z135","3b.1","Less_Restrictive"
"111",10,2.6,1e-06,20,0,2.59866304151421,0.000683832537372,1.30641789416937,0.765432648955702,19.98354762,0.03152868,9.80641046966,5.74670799590524,"2_z135","3c","Less_Restrictive"
"121",11,0,0,22,20,0,0,0,0,21.99824817,20.000177024,21.005352770114,0.561694557442493,"2_z135","3c*","Less_Restrictive"
"22",1,1269,1165,1000,950,1268.96803741219,1165.131844128,1223.8271660033,30.6984083755655,999.91707505,950.00850115,974.9904805102,14.3631449974528,"2_z008","1a","Less_Restrictive"
"32",2,1268.99,993.1,1000,20,1268.83646742281,994.942658458875,1156.06645047977,55.3620729589881,999.3630098,20.8366897,517.11590211878,275.993264194427,"2_z008","1a.1","Less_Restrictive"
"42",3,1268.9,988.5,20,0,1267.18036702869,988.7006026464,1073.14911191438,47.6242311077763,19.96844074,0.00147584,9.96213600085999,5.91428695932561,"2_z008","1a.2","Less_Restrictive"
"52",4,993.15,949.7,20,0,993.146244291023,949.7087709039,974.353471163038,12.5145165688002,19.95684108,0.00646678,9.99264502122002,5.73139687521684,"2_z008","2a","Less_Restrictive"
"62",5,993,487.5,285,0,992.704242258497,487.610924543222,804.779512764288,143.37828282694,181.88993664,0.00900087,76.573903353255,46.0548266366324,"2_z008","2b","Less_Restrictive"
"72",6,992,487,40,0,989.777234925,487.163051368244,684.943526773314,150.265410975233,39.86590588,0.0933688,20.505108604,11.6531740635499,"2_z008","2b.1","Less_Restrictive"
"82",7,497,485,40,0,496.994854508,485.027987336,491.055018693931,3.49792627221116,39.93373692,0.0767732,20.12379688504,11.6818499927834,"2_z008","3a","Less_Restrictive"
"92",8,496,201,100,70,495.85517976592,201.476458335,347.805996927875,84.167326422218,99.96166609,70.00129198,84.8591159754101,8.93370612065545,"2_z008","3b","Less_Restrictive"
"102",9,251,2.6,20,0,250.4791265624,2.7139072976,125.058811982317,71.1597978477075,19.98651166,0.01474432,9.72179583673999,5.66809196650985,"2_z008","3b.1","Less_Restrictive"
"112",10,2.6,1e-06,20,0,2.59993206722613,0.003938968885396,1.30181358661766,0.752551631595156,19.99938056,0.00186838,10.0041799437,5.68833479173793,"2_z008","3c","Less_Restrictive"
"122",11,0,0,22,20,0,0,0,0,21.997256556,20.005318498,20.996301472628,0.586115200402044,"2_z008","3c*","Less_Restrictive"
"23",1,1269,1165,1000,950,1269.01267023716,1165.214493448,1221.83483315639,31.9323410860564,999.9416117,950.0634535,975.761907550649,14.2922169751256,"2_z107","1a","Less_Restrictive"
"33",2,1268.99,993.1,1000,20,1268.91284998743,993.227335812758,1095.40760900472,81.5738787533531,997.59380208,20.72048914,568.88803730138,272.217015450429,"2_z107","1a.1","Less_Restrictive"
"43",3,1268.9,988.5,20,0,1268.758525582,988.567398346,1038.56142806891,62.9990499676386,19.99626146,0.0134074,9.90160305043998,5.85702899588011,"2_z107","1a.2","Less_Restrictive"
"53",4,993.15,949.7,20,0,993.136993980348,949.72930367935,973.616101285268,13.2387218508635,19.971817,0.00511916,9.79124168868,5.72377014909375,"2_z107","2a","Less_Restrictive"
"63",5,993,487.5,285,0,992.961127041241,488.632601454346,790.648694653054,153.373441960283,284.241620985,0.06284478,110.80898134905,67.3666156789446,"2_z107","2b","Less_Restrictive"
"73",6,992,487,40,0,991.367118125426,487.458678531291,676.531817838978,155.185456211681,39.99198292,0.03539756,19.67799606992,11.5209101462445,"2_z107","2b.1","Less_Restrictive"
"83",7,497,485,40,0,496.99748804,485.014627004,490.729584237651,3.46468673847346,39.98674216,0.01013464,19.98023373772,11.3630944704874,"2_z107","3a","Less_Restrictive"
"93",8,496,201,100,70,494.555927496429,201.01551287,345.393746629277,82.4765801201306,99.97821391,70.1038267,85.0805126343699,8.72287624966717,"2_z107","3b","Less_Restrictive"
"103",9,251,2.6,20,0,250.9777629836,2.8306925576,127.549735665127,70.4734248794485,19.9966011,0.01226918,10.0139146276,5.79982597888483,"2_z107","3b.1","Less_Restrictive"
"113",10,2.6,1e-06,20,0,2.59915617812455,0.001518442616368,1.29045826128249,0.748389893899563,19.9805448,0.02784658,10.21470642326,5.74540700125878,"2_z107","3c","Less_Restrictive"
"123",11,0,0,22,20,0,0,0,0,21.999979972,20.002787286,21.008593858936,0.586352142138215,"2_z107","3c*","Less_Restrictive"
"24",1,1269,1165,1000,950,1268.92616961037,1165.259438712,1225.40424104518,31.1672378717226,999.9690513,950.04739685,975.0905345383,14.3673244211734,"3_z023","1a","Less_Restrictive"
"34",2,1268.99,993.1,1000,20,1268.77887583428,993.481203591044,1137.23821555788,77.9746649333821,999.1782259,21.66402628,521.45320439284,286.818884615838,"3_z023","1a.1","Less_Restrictive"
"44",3,1268.9,988.5,20,0,1267.3239980604,988.649933712103,1072.51444425882,72.2854483954021,19.97624966,0.00779594,10.20038189872,5.84573561843058,"3_z023","1a.2","Less_Restrictive"
"54",4,993.15,949.7,20,0,993.1194187603,949.70344076205,970.729849841731,12.6154099745926,19.98280014,0.01087994,10.08363699358,5.85535019461723,"3_z023","2a","Less_Restrictive"
"64",5,993,487.5,285,0,982.109289741712,487.808391394762,726.169996799565,81.1505636476315,284.985812985,169.315213665,233.920344074925,31.1853813810478,"3_z023","2b","Less_Restrictive"
"74",6,992,487,40,0,698.302110153902,487.263061109119,588.140100006385,55.2409529120723,39.97466812,0.0267226,20.58784456212,11.4291352481053,"3_z023","2b.1","Less_Restrictive"
"84",7,497,485,40,0,496.998606104,485.001284276,490.892410863126,3.5075642006739,39.96872968,0.01055,19.86490596376,11.4841193274715,"3_z023","3a","Less_Restrictive"
"94",8,496,201,100,70,494.768762925,201.364761274387,348.543273445471,83.4724472043984,99.98570878,70.00468477,85.17271790743,8.91506700378632,"3_z023","3b","Less_Restrictive"
"104",9,251,2.6,20,0,250.5792031964,2.7093826916,126.890420063375,69.1462831657721,19.9851951,0.04948424,9.98668242519999,5.77434126855454,"3_z023","3b.1","Less_Restrictive"
"114",10,2.6,1e-06,20,0,2.59938724783567,0.00227472512549,1.27549402007017,0.75057439915133,19.99145988,0.00783526,10.11642986684,5.87150594342393,"3_z023","3c","Less_Restrictive"
"124",11,0,0,22,20,0,0,0,0,21.998175048,20.001619064,21.006787097718,0.579693476725955,"3_z023","3c*","Less_Restrictive"
